,apt,street,city,state,zipcode,hotrent,amenities,popularity,hottele,hoturl,soundscore,aptrent,apttele,apturl,Population,Density,TotalWages,Wealthy,HouseOfUnits
983,1105 W 52nd Street, 1105 W 52nd Street, Los Angeles, CA,90037, Call, Dryer; Flooring: Hardwood; Laundry: In Unit; Off Street Parking; Washer; Water included in rent,Low, 562-565-5284, https://hotpads.com/1105-w-52nd-st-los-angeles-ca-90037-1n1x6a1/pad,,,,,62276.0,21928.1690141,428398470.0,6879.02996339,17192.0
984,4276 Perlita Avenue, 4276 Perlita Avenue, Los Angeles, CA,90039, Call, Architecture Style: Contemporary; Attached Garage; Covered Parking Spaces: 2; Fireplace; Heating system: Central; MLS Listing ID: 18302748; Patio Balcony; Year Built: 2010,Medium, 323-842-4001, https://hotpads.com/4276-perlita-ave-los-angeles-ca-90039-1m2pf48/pad,,,,,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
985,12726 Vose Street, 12726 Vose Street, North Hollywood, CA,91605, Call, Architecture Style: Ranch Rambler; Covered Parking Spaces: 2; Dryer; Flooring: Carpet; Flooring: Tile; Heating system: Forced Air; Heating: Wood; Laundry: In Unit; MLS Listing ID: SR18046193; Refrigerator; Roof Type: Composition; Washer; Year Built: 1959,Low, 818-528-3200, https://hotpads.com/12726-vose-st-north-hollywood-ca-91605-1m3wmsf/pad,,,,,56343.0,10319.2307692,605003480.0,10737.8641535,16199.0
986,Vinton Court, 3676 Vinton Avenue, Los Angeles, CA,90034,2795, Air Conditioning; Cable TV Ready; Courtyard; Disabled Access; Dishwasher; Efficient Appliances; Electronic Thermostat; Elevator; Fireplace; Fitness Center; Flooring: Hardwood; Gated Subterranean Parking; Handrails; High Ceilings; Laundry: Shared; Microwave Oven; Off Street Parking; On-Site Management; Patio Balcony; Range; Recycling; View; Window Coverings,Medium, 1-310-715-8404, https://hotpads.com/vinton-court-los-angeles-ca-90034-snrf6s/pad,,,,,57964.0,18637.9421222,1244231596.0,21465.5923677,27210.0
987,3519 May Street, 3519 May Street, Los Angeles, CA,90066, Call, Cats Allowed; Garage; Laundry: Hookups; No Utilities included in rent; Off Street Parking; Patio Balcony; Washer/Dryer Hookups,High, 310-459-4013, https://hotpads.com/3519-may-st-los-angeles-ca-90066-1m2shzk/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
988,5171 Dumont Place, 5171 Dumont Place, Woodland Hills, CA,91364, Call, Air Conditioning; Attached Garage; Cats Allowed; Dryer; Flooring: Hardwood; Garage; Guest parking; Large Dogs Allowed; Laundry: In Unit; Lawn; Lot Size: 1.13; Off Street Parking; Parking Spaces: 3; Small Dogs Allowed; Swimming Pool; Washer; Yard; Year Built: 1962,Medium, 818-317-5627, https://hotpads.com/5171-dumont-pl-woodland-hills-ca-91364-1m3s9xs/pad,,,,,25851.0,3405.92885375,1029950393.0,39841.8008201,10975.0
989,17178 Kingsbury Street, 17178 Kingsbury Street, Granada Hills, CA,91344, Call, Room number of roommates: 4,Medium, 818-422-9661, https://hotpads.com/17178-kingsbury-st-granada-hills-ca-91344-1m3p5pg/pad,,,,,51747.0,3153.3820841,1102040461.0,21296.7024369,17444.0
990,622 S Barrington Avenue, 622 S Barrington Avenue, Los Angeles, CA,90049, Call, Air Conditioning; Cats Allowed; Disabled Access; Flooring: Hardwood; Furnished; Garage; Garbage included in rent; Gas included in rent; Large Dogs Allowed; Laundry: Shared; Manager on site daily; Off Street Parking; Patio Balcony; Small Dogs Allowed; Two parking spots; Water included in rent,High, hotpads, https://hotpads.com/622-s-barrington-ave-los-angeles-ca-90049-skxfj3/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
991,8840 Reading Avenue, 8840 Reading Avenue, Los Angeles, CA,90045,2340, Air Conditioning; Cable TV Ready; Cats Allowed; Convection Oven; Deck; Disabled Access; Dishwasher; Dryer; Flooring: Hardwood; Freezer; Garage; Garbage Disposal; High-speed Internet Ready; Laundry: In Unit; Microwave Oven; Off Street Parking; One Year Lease; Oven; Parking Lot; Patio Balcony; Range; Refrigerator; Rooftop Deck; Security: Controlled Access; Security: Gated Entry; Security: Intercom; View Type: City; Washer,Low, 714-333-6768, https://hotpads.com/8840-reading-ave-los-angeles-ca-90045-1m2qn6d/pad,62, $2705, 844-705-5542, https://www.apartments.com/8840-reading-ave-los-angeles-ca/5grr1vq/,39480.0,3679.40354147,1086342467.0,27516.273227,16127.0
992,Park La Brea, 6200 W 3rd Street, Los Angeles, CA,90036,1706, Business Center; Cable TV Ready; Cats Allowed; Club House; Concierge; Fitness Center; Large Dogs Allowed; On-Site Maintenance; Security: Doorman; Small Dogs Allowed; Swimming Pool; customamenity,High, 1-424-329-5316, https://hotpads.com/park-la-brea-los-angeles-ca-90036-skhkq2/pad,72, $1683 - 4060, 844-831-1452, https://www.apartments.com/park-la-brea-los-angeles-ca/r54g963/,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
993,1836 N Gramercy Place, 1836 N Gramercy Place, Los Angeles, CA,90028,2100, ,Medium, hotpads, https://hotpads.com/1836-n-gramercy-pl-los-angeles-ca-90028-1n1wf6y/pad,68, $1999 - 3250, 877-607-7848, https://www.apartments.com/gramercy-hollywood-los-angeles-ca/583z2cn/,28714.0,18890.7894737,379215740.0,13206.6497179,17126.0
994,1946 S Holt Avenue, 1946 S Holt Avenue, Los Angeles, CA,90034, Call, Air Conditioning; Cats Allowed; Electricity included in rent; Garbage included in rent; Gas included in rent; Laundry: Shared; Off Street Parking; Sewage included in rent; Water included in rent; Weekly Farmer's Market 2 blocks away,High, 310-989-1908, https://hotpads.com/1946-s-holt-ave-los-angeles-ca-90034-1n1wsze/pad,,,,,57964.0,18637.9421222,1244231596.0,21465.5923677,27210.0
995,1929 Cumbre Drive, 1929 Cumbre Drive, San Pedro, CA,90732, Call, Dryer; Flooring: Hardwood; Furnished; Laundry: In Unit; Off Street Parking; Washer,High, 310-938-3708, https://hotpads.com/1929-cumbre-dr-san-pedro-ca-90732-1m398p3/pad,,,,,21115.0,6138.08139535,544912664.0,25806.8986029,9250.0
996,7071 Hawthorn Avenue, 7071 Hawthorn Avenue, Los Angeles, CA,90028,1695, ,High, hotpads, https://hotpads.com/7071-hawthorn-ave-los-angeles-ca-90028-sm2c48/pad,,,,,28714.0,18890.7894737,379215740.0,13206.6497179,17126.0
997,273 Belmont Avenue, 273 Belmont Avenue, Los Angeles, CA,90026, Call, Architecture Style: Queen AnneVictorian; Flooring: Hardwood; Heating system: Central; MLS Listing ID: 18321554; Microwave Oven; Refrigerator; View Type: City View; Year Built: 1883; Attic,High, 323-283-5852, https://hotpads.com/273-belmont-ave-los-angeles-ca-90026-skp8pr/pad,68, $1700, 323-629-4978, https://www.apartments.com/273-belmont-ave-los-angeles-ca/e362zgp/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
998,17809 Superior Street, 17809 Superior Street, Northridge, CA,91325,2195, Dogs Allowed; Dryer; Electricity included in rent; Elevator; Fitness Center; Flooring: Carpet; Flooring: Hardwood; Gated Parking; Heating: Other; Laundry: In Unit; On-Site Maintenance; On-Site Management; Recreation Room; Secured Entry; Security: Controlled Access; Swimming Pool; Washer; Water included in rent; Cable/Internet Ready; Contemporary Stone Counters; Stainless Steel Appliances,Medium, hotpads, https://hotpads.com/15-nmssuperior-northridge-ca-91325-skyhd6/pad,,,,,32417.0,6725.5186722,605192081.0,18668.9724836,12488.0
999,956 N Hoover Street, 956 N Hoover Street, Los Angeles, CA,90029, Call, Architecture Style: Bungalow; Covered Parking Spaces: 1; Dryer; Flooring: Hardwood; Freezer; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18320762; Refrigerator; View Type: City View; Washer; Year Built: 1926,High, 202-746-1115, https://hotpads.com/956-n-hoover-st-los-angeles-ca-90029-u2vwj0/pad,,,,,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
1000,626 W 76th Street, 626 W 76th Street, Los Angeles, CA,90044, Call, Air Conditioning; Cable not included in rent; Dryer; Electricity not included in rent; Flooring: Hardwood; Garage; Garbage not included in rent; Gas not included in rent; Internet not included in rent; Laundry: In Unit; Off Street Parking; Sat TV not included in rent; Washer; Water not included in rent,Low, 424-307-5629, https://hotpads.com/626-w-76th-st-los-angeles-ca-90044-sq5dfq/pad,66, $3100, 844-547-5641, https://www.apartments.com/626-w-76th-st-los-angeles-ca/pf6hfvt/,89779.0,17466.7315175,698006487.0,7774.71888749,27479.0
1001,25908 Sandstone Lane, 25908 Sandstone Lane, Harbor City, CA,90710, Call, Covered Parking Spaces: 2; Heating system: Central Furnace; MLS Listing ID: SB18009773; School District: Los Angeles Unified; View Type: None; Year Built: 2005,Low, 310-753-7016, https://hotpads.com/25908-sandstone-ln-harbor-city-ca-90710-1m37rcr/pad,,,,,25457.0,10786.8644068,430446435.0,16908.7651726,9061.0
1002,2126 Kent Street, 2126 Kent Street, Los Angeles, CA,90026, Call, Air Conditioning; Dryer; Flooring: Hardwood; Garage; Large Dogs Allowed; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer,High, 310-430-1260, https://hotpads.com/2126-kent-st-los-angeles-ca-90026-1m2md6d/pad,,,,,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
1003,3138 Drew Street, 3138 Drew Street, Los Angeles, CA,90065,2775, Cats Allowed; Dogs Allowed; Dryer; Garage; Large Dogs Allowed; Laundry: In Unit; Range; Refrigerator; Small Dogs Allowed; Washer,High, 818-629-1779, https://hotpads.com/3138-drew-street-los-angeles-ca-90065-1m2s1th/pad,,,,,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
1004,10355 Lorenzo Drive, 10355 Lorenzo Drive, Los Angeles, CA,90064, Call, Covered Parking Spaces: 2; Flooring: Hardwood; Furnished; Heating system: Central; MLS Listing ID: 17199744; Swimming Pool; Year Built: 1939,Low, 310-740-9719, https://hotpads.com/10355-lorenzo-dr-los-angeles-ca-90064-txzzm1/pad,,,,,25403.0,6350.75,1105519048.0,43519.2319017,11540.0
1005,239 Sherman Canal, 239 Sherman Canal, Venice, CA,90291, Call, Covered Parking Spaces: 3; Dryer; Exterior Type: Stucco; Fireplace; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Gas Cooling; Heating system: Central; Heating system: Forced Air; Heating: Gas; Jetted Bathtub; Laundry: In Unit; MLS Listing ID: 17297924; Patio Balcony; Refrigerator; Washer; Year Built: 1989,Low, 310-773-6945, https://hotpads.com/239-sherman-canal-venice-ca-90291-1m2zgbt/pad,,,,,28341.0,11336.4,807288781.0,28484.8375498,16212.0
1006,749 N Orlando Avenue, 749 N Orlando Avenue, Los Angeles City, CA,90069, Call, Architecture Style: Contemporary; Attached Garage; Dryer; Flooring: Hardwood; Freezer; Garbage Disposal; Laundry: In Unit; MLS Listing ID: 17276048; Security: Intercom; Swimming Pool; Washer; Year Built: 2014; Wired,Low, 310-432-6400, https://hotpads.com/749-n-orlando-ave-west-hollywood-ca-90069-u6yh21/pad,,,,,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
1007,839 N Alexandra Avenue, 839 N Alexandra Avenue, Los Angeles, CA,90029, Call, Cats Allowed; Flooring: Hardwood; Small Dogs Allowed,High, 310-279-6508, https://hotpads.com/839-n-alexandria-ave-los-angeles-ca-90029-1n1why4/pad,,,,,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
1008,28 Sunset Avenue, 28 Sunset Avenue, Venice, CA,90291,1595, ,High, hotpads, https://hotpads.com/28-sunset-ave-venice-ca-90291-sp0fj0/pad,,,,,28341.0,11336.4,807288781.0,28484.8375498,16212.0
1009,5454 Genesta Avenue, 5454 Genesta Avenue, Encino, CA,91316, Call, Attached Garage; Covered Parking Spaces: 2; Elementary School: Encino; Fireplace; Garbage Disposal; Heating system: Central Furnace; High School: Birmingham; MLS Listing ID: SR18060626; Middle School: Portola; School District: Los Angeles Unified; Swimming Pool; View Type: None; Washer; Year Built: 1957; Range/Oven,Low, 818-657-3030, https://hotpads.com/5454-genesta-ave-encino-ca-91316-1m3j641/pad,,,,,26898.0,5368.86227545,817003808.0,30374.1470741,12692.0
1010,S Victoria Avenue, S Victoria Avenue, West Adams, CA,90016, Call, Air Conditioning; Attached Garage; Cats Allowed; Detached Garage; Dryer; Flooring: Hardwood; Flooring: Tile; Laundry: In Unit; Off Street Parking; Parking Spaces: 2; Street Parking; Washer; Year Built: 1927; Jacuzzi / Whirlpool; Vaulted Ceiling,Medium, 323-294-3480, https://hotpads.com/3501-s-victoria-ave-los-angeles-ca-90016-1n1uzt6/pad,,,,,47596.0,13111.84573,570516671.0,11986.6516304,17204.0
1011,2460 Jupiter Drive, 2460 Jupiter Drive, Los Angeles City, CA,90046, Call, Architecture Style: Contemporary; Barbecue; Dryer; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Laundry: In Unit; MLS Listing ID: 17298316; Patio Balcony; Swimming Pool; Washer; Year Built: 1979,Low, 310-623-1376, https://hotpads.com/2460-jupiter-dr-los-angeles-ca-90046-1m2qqsv/pad,,,,,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
1012,Woodcliff, 3201 Overland Avenue, Los Angeles, CA,90034,1950, Air Conditioning; BBQ/Picnic Area; Balcony/Patios*; Cats Allowed; Close to UCLA LMU and SMC; Club House; Concierge; Direct access to the 10 and 405 freeways; Dishwasher; Fireplace; Fitness Center; Flooring: Carpet; Flooring: Wood; Garden; Granite counter tops*; Laundry: Shared; Off Street Parking; On-Site Maintenance; On-Site Management; Package Service; Pictures may not be of exact apartment home; Quartz Counter Tops*; Recreation Room; Refrigerator; Security: Gated Entry; Spa; Spectacular views*; Stainless steel appliances*; Stories: 3; Swimming Pool; Walk-in Closets*,High, 1-424-289-6184, https://hotpads.com/woodcliff-los-angeles-ca-90034-skhm8z/pad,65, $1895 - 3295, 844-495-9186, https://www.apartments.com/woodcliff-los-angeles-ca/z23h3gx/,57964.0,18637.9421222,1244231596.0,21465.5923677,27210.0
1013,4824 S Figueroa Street, 4824 S Figueroa Street, Los Angeles, CA,90037, Call, Garage; Year Built: 1950,Medium, 323-544-0171, https://hotpads.com/4824-s-figueroa-st-los-angeles-ca-90037-tmhr0g/pad,,,,,62276.0,21928.1690141,428398470.0,6879.02996339,17192.0
1014,12106 Herbert Street, 12106 Herbert Street, Los Angeles, CA,90066, Call, Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17298122; No Air Conditioning; Refrigerator; Swimming Pool; Washer; Year Built: 1926,Low, 310-880-4523, https://hotpads.com/12106-herbert-st-los-angeles-ca-90066-1m2sbyj/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
1015,13132 Bryson Street, 13132 Bryson Street, Los Angeles, CA,91331, Call, ,High, 888-659-9596 x477047, https://hotpads.com/13132-bryson-st-pacoima-ca-91331-sm8sq4/pad,,,,,103689.0,11716.2711864,1043358256.0,10062.3813134,23780.0
1016,16811 Halper Street, 16811 Halper Street, Encino, CA,91436, Call, Covered Parking Spaces: 2; Detached Garage; Dryer; Flooring: Laminate; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18314310; Washer; Year Built: 1952,Medium, 818-697-9015, https://hotpads.com/16811-halper-st-encino-ca-91436-ss435t/pad,,,,,14372.0,2521.40350877,1470963725.0,102349.271152,5788.0
1017,109 S Normandie Avenue, 109 S Normandie Avenue, Los Angeles, CA,90004,1200, Cats Allowed; Dogs Allowed; Flooring: Hardwood; Flooring: Tile; Large Dogs Allowed; Laundry: Shared; Small Dogs Allowed; Street Parking; city views; exposed brick; on-site manager; spacious closets,High, 213-276-9097, https://hotpads.com/109-s-normandie-avenue-los-angeles-ca-90004-sm44a8/pad,,,,,62180.0,20386.8852459,891085777.0,14330.7458508,24278.0
1018,Naylor Avenue, Naylor Avenue, Los Angeles, CA,90045, Call, Dryer; Flooring: Hardwood; Laundry: In Unit; Lawn Care included in rent; Washer; great YMCA just blocks away,Low, 310-463-8922, https://hotpads.com/8506-naylor-ave-los-angeles-ca-90045-1m2qm7k/pad,,,,,39480.0,3679.40354147,1086342467.0,27516.273227,16127.0
1019,8337 Barnsley Avenue, 8337 Barnsley Avenue, Los Angeles, CA,90045,2000, Ceiling Fan; Dishwasher; Dryer; Flooring: Carpet; Flooring: Tile; Garbage Disposal; Garbage included in rent; Gas not included in rent; Heating: Electric; Laundry: In Unit; Microwave Oven; Off Street Parking; One Year Lease; Oven; Refrigerator; Washer; Water not included in rent,High, 310-213-7535, https://hotpads.com/8337-barnsley-ave-los-angeles-ca-90045-1m2qkgg/pad,,,,,39480.0,3679.40354147,1086342467.0,27516.273227,16127.0
1020,5932 Wish Avenue, 5932 Wish Avenue, Encino, CA,91316, Call, Attached Garage; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Hardwood; Furnished; Heating system: Central; Laundry: In Unit; MLS Listing ID: 16983319; Microwave Oven; Swimming Pool; Washer; Year Built: 1956,Low, 888-705-5378, https://hotpads.com/5932-wish-ave-encino-ca-91316-u1ubtz/pad,,,,,26898.0,5368.86227545,817003808.0,30374.1470741,12692.0
1021,1204 W Adams, 1204 W Adams, Los Angeles, CA,90004,1675, 24 Hour Maintenance; Air Conditioning; Bicycle Storage; Building Application Fee: 35; Building Deposit Fee Minimum: 1200; Cable TV Ready; Cats Allowed; Flooring: Carpet; Flooring: Hardwood; Flooring: Vinyl; Freezer; Heating: Gas; High-speed Internet Ready; Internet included in rent; Laundry: Shared; Lawn; On-Site Management; One Year Lease; Online Maintenance Portal; Online Rent Payment; Oven; Parking Lot; Patio Balcony; Range; Refrigerator; Security: Gated Entry; Spanish Speaking Staff; Stories: 2,Medium, 1-213-806-6894, https://hotpads.com/1204-w-adams-los-angeles-ca-90007-smvt1k/pad,,,,,62180.0,20386.8852459,891085777.0,14330.7458508,24278.0
1022,1431 Prism Drive, 1431 Prism Drive, Los Angeles, CA,90041, Call, Architecture Style: Contemporary; Covered Parking Spaces: 2; Dryer; Flooring: Hardwood; Flooring: Tile; Freezer; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18322904; Microwave Oven; Refrigerator; View Type: City View; Washer; Year Built: 2015,Medium, 323-667-0700, https://hotpads.com/1431-prism-dr-los-angeles-ca-90041-1m2pjx7/pad,,,,,27425.0,7596.95290859,541197806.0,19733.7395077,9998.0
1023,11104 Aqua Vista Street, 11104 Aqua Vista Street, North Hollywood, CA,91602,1295, ,High, hotpads, https://hotpads.com/11104-aqua-vista-st-north-hollywood-ca-91602-ttw52c/pad,,,,,17473.0,8523.41463415,555014995.0,31764.1501173,9946.0
1024,138 E 102nd Street, 138 E 102nd Street, Los Angeles, CA,90003, Call, Dryer; Laundry: In Unit; Refrigerator; Sewage included in rent; Washer; Water included in rent,Low, 213-763-6112, https://hotpads.com/138-e-102nd-st-los-angeles-ca-90003-1n1t3gk/pad,,,,,66266.0,18666.4788732,463744071.0,6998.22036942,17127.0
1025,12525 Brooklake Street, 12525 Brooklake Street, Los Angeles, CA,90066, Call, Cats Allowed; Dogs Allowed; Small Dogs Allowed,Medium, 310-869-7901, https://hotpads.com/12525-brooklake-st-los-angeles-ca-90066-sm5gw1/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
1026,17986 Valley Vista Boulevard, 17986 Valley Vista Boulevard, Encino, CA,91316, Call, Heating system: Central Furnace; MLS Listing ID: 318001007; Year Built: 2016,Low, 818-522-6727, https://hotpads.com/17986-valley-vista-blvd-encino-ca-91316-1m3j1n3/pad,,,,,26898.0,5368.86227545,817003808.0,30374.1470741,12692.0
1027,5163 Alhama Drive, 5163 Alhama Drive, Woodland Hills, CA,91364, Call, Attached Garage; Condo Floor Number: 1; Covered Parking Spaces: 1; Elementary School: Serrania; Fireplace; Flooring: Hardwood; Heating system: Central Furnace; High School: Taft; MLS Listing ID: SR18059799; Middle School: Woodland Hills; Patio Balcony; School District: Los Angeles Unified; View Type: None; Year Built: 1950,Medium, 310-926-9353, https://hotpads.com/5163-alhama-dr-woodland-hills-ca-91364-skxdy8/pad,,,,,25851.0,3405.92885375,1029950393.0,39841.8008201,10975.0
1028,5324 Kester Avenue, 5324 Kester Avenue, Los Angeles, CA,91411, Call, ,Medium, 805-804-9044, https://hotpads.com/5324-kester-ave-van-nuys-ca-91411-tmkj9s/pad,,,,,24628.0,12072.5490196,336333290.0,13656.540929,9788.0
1029,Hartsook Street, Hartsook Street, Valley Village, CA,91607, Call, Air Conditioning; Barbecue; Cable TV Ready; Close to CBS Warner Bros Disney and Universal; Dryer; Fireplace; Flooring: Hardwood; Fully equipped Kitchen; Furnished; Gardener; Internet and Printer; Laundry: In Unit; Off Street Parking; Patio Balcony; Pets considered; Quiet Cul de Sac; Spacious Office; Swimming Pool; Utilities included in rent; Washer,Medium, 818-424-9988, https://hotpads.com/12341-hartsook-st-valley-village-ca-91607-1m3x6qe/pad,,,,,27927.0,11445.4918033,611687844.0,21903.0989365,13841.0
1030,1221 S Bedford Street, 1221 S Bedford Street, Los Angeles, CA,90035, Call, Cats Allowed; Ceiling Fan; Flooring: Hardwood; Heating system: Heat: forced air; Laundry: Shared; Refrigerator; Range/Oven,Medium, 310-962-5437, https://hotpads.com/1221-s-bedford-st-los-angeles-ca-90035-1tysf68/pad,,,,,28418.0,13795.1456311,708020742.0,24914.5169259,14030.0
1031,733 S Boyle Avenue, 733 S Boyle Avenue, Los Angeles, CA,90023, Call, Cats Allowed; Flooring: Hardwood; Laundry: none; Off Street Parking; Patio Balcony; Small Dogs Allowed,High, hotpads, https://hotpads.com/733-s-boyle-ave-los-angeles-ca-90023-u28x2t/pad,,,,,45903.0,10877.4881517,386600337.0,8422.1148291,11259.0
1032,South Broadway, 849 South Broadway, Los Angeles, CA,90014,2950, ,High, hotpads, https://hotpads.com/849-south-broadway-los-angeles-ca-90014-skk7pj/pad,,,,,7005.0,25017.8571429,91984035.0,13131.1970021,4990.0
1033,813 S Union Avenue, 813 S Union Avenue, Los Angeles, CA,90017,1995, Air Conditioning; Cats Allowed; Dogs Allowed; Garbage Disposal; Laundry: Shared; Microwave Oven; Parking -; Patio Balcony; Range; Refrigerator; Small Dogs Allowed; Unfurnished -; Washer,High, 877-736-8776, https://hotpads.com/2-bed-10-bath-800-sqft-1995-los-angeles-ca-90017-w2pd7k/pad,,,,,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
1034,10580 Wilshire #11SE, 10580 Wilshire #11SE, Los Angeles, CA,90024, Call, Dryer; Elevator; Fireplace; Fitness Center; Flooring: Carpet; Flooring: Tile; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18305730; Swimming Pool; View Type: City View; View Type: Mountain View; Washer; Year Built: 1991; Concierge; Spa,Low, 310-512-6022, https://hotpads.com/11se/pad,,,,,47452.0,16140.1360544,1258492976.0,26521.3895305,19932.0
1035,4925 Beverly Boulevard, 4925 Beverly Boulevard, Los Angeles, CA,90004,1300, ,High, hotpads, https://hotpads.com/4925-beverly-blvd-los-angeles-ca-90004-1m2hvdj/pad,73, $1500, 844-778-5567, https://www.apartments.com/4925-beverly-blvd-los-angeles-ca/xzhhxwp/,62180.0,20386.8852459,891085777.0,14330.7458508,24278.0
1036,19639 Shadow Glen Circle, 19639 Shadow Glen Circle, Porter Ranch, CA,91326, Call, Attached Garage; Cable TV Ready; Covered Parking Spaces: 2; Dryer; Exterior Type: Stucco; Fireplace; Flooring: Carpet; Flooring: Ceramic; Flooring: Hardwood; Flooring: Laminate; Flooring: Marble; Garbage Disposal; Garden; Heating system: Forced Air; Laundry: In Unit; MLS Listing ID: SR18033362; Microwave Oven; Patio Balcony; Refrigerator; Roof Type: Tile; Security: Doorman; Security: Gated Entry; Sprinkler System; Swimming Pool; View Type: Mountain View; Washer; Year Built: 1987; Courtyard; Double Pane Windows; Fenced Yard; Range/Oven,Low, 818-554-3276, https://hotpads.com/19639-shadow-glen-cir-porter-ranch-ca-91326-1m3kkcs/pad,80, $3500, 844-855-0852, https://www.apartments.com/19639-shadow-glen-cir-los-angeles-ca/5p75qqn/,33708.0,4130.88235294,919431592.0,27276.3614572,12206.0
1037,13807 Wyandotte Street, 13807 Wyandotte Street, Van Nuys, CA,91405, Call, ,Medium, 855-721-7368, https://hotpads.com/13807-wyandotte-st-van-nuys-ca-91405-u3ngr7/pad,-, $3060, 844-816-1877, https://www.apartments.com/13807-wyandotte-st-van-nuys-ca/hmjzx30/,51145.0,15451.6616314,545861221.0,10672.8169127,17442.0
1038,118 1/2 S Sycamore Avenue, 118 1/2 S Sycamore Avenue, Los Angeles, CA,90036,3095, Cats Allowed; Dogs Allowed; Large Dogs Allowed; Small Dogs Allowed,Medium, 310-839-8970, https://hotpads.com/2-bed-3095-los-angeles-ca-90036-1tyhccn/pad,,,,,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
1039,503 N Hoover Street, 503 N Hoover Street, Los Angeles, CA,90004, Call, Cats Allowed; Flooring: Hardwood; Garbage included in rent; Gas not included in rent; Laundry: none; Patio Balcony; Sewage included in rent; Small Dogs Allowed; Water included in rent,Medium, 213-364-2116, https://hotpads.com/503-n-hoover-st-los-angeles-ca-90004-1n1thf4/pad,64, $2300, 323-472-9067, https://www.apartments.com/503-n-hoover-st-los-angeles-ca/zwlyfxw/,62180.0,20386.8852459,891085777.0,14330.7458508,24278.0
1040,Killion Street, Killion Street, Tarzana, CA,91356, Call, Cable not included in rent; Room number of roommates: 1,Medium, 805-419-5539, https://hotpads.com/18134-killion-st-tarzana-ca-91356-ssk44w/pad,,,,,29458.0,4018.82673943,820382070.0,27849.2114196,12454.0
1041,11182 W Sunset Boulevard, 11182 W Sunset Boulevard, Bel Air, CA,90049, Call, Condo Floor Number: 1; Covered Parking Spaces: 12; Fireplace; Furnished; Garden; Heating system: Central Furnace; MLS Listing ID: SB18038411; School District: Westwood; Swimming Pool; View Type: Mountain View; View Type: Trees/Woods; Year Built: 1951,Low, 310-541-8000, https://hotpads.com/11182-w-sunset-blvd-los-angeles-ca-90049-te9x79/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
1042,152 S Sepulveda, 152 S Sepulveda, Los Angeles, CA,90049, Call, Attached Garage; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18319008; Patio Balcony; Refrigerator; Washer; Year Built: 1948,High, 213-434-2433, https://hotpads.com/152-s-sepulveda-blvd-los-angeles-ca-90049-smnv8t/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
1043,1211 N June Street, 1211 N June Street, Los Angeles, CA,90038,1750, ,Low, hotpads, https://hotpads.com/1211-n-june-st-los-angeles-ca-90038-1n1xery/pad,,,,,28917.0,18418.4713376,330114199.0,11415.9213957,12812.0
1044,1018 N Mariposa Avenue, 1018 N Mariposa Avenue, Los Angeles, CA,90029, Call, Cats Allowed; Dogs Allowed; Large Dogs Allowed; Small Dogs Allowed,Low, 310-858-0660, https://hotpads.com/1018-n-mariposa-ave-los-angeles-ca-90029-srzj83/pad,,,,,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
1045,1215 N June Street, 1215 N June Street, Los Angeles, CA,90038,1765, ,Medium, hotpads, https://hotpads.com/1215-n-june-st-los-angeles-ca-90038-ttut5a/pad,,,,,28917.0,18418.4713376,330114199.0,11415.9213957,12812.0
