apt,street,city,state,zipcode,min price,amenities,recent viewed,contact number,url
1947 Kelton Avenue, 1947 Kelton Avenue, Los Angeles, CA,90025, Call, Architecture Style: Colonial; Fireplace; Flooring: Hardwood; Garbage Disposal; Heating system: Central; MLS Listing ID: 18302966; Refrigerator; Trash Compactor; Washer; Year Built: 1924,18, 310-612-4980, https://hotpads.com/1947-kelton-ave-los-angeles-ca-90025-skm6dr/pad
3305 Stocker Street, 3305 Stocker Street, Los Angeles, CA,90008, Call, Air Conditioning; Flooring: Hardwood; Garage; Laundry: Shared; Security: Gated Entry; Small Dogs Allowed; Water included in rent,32, 310-754-5604, https://hotpads.com/3305-stocker-st-los-angeles-ca-90008-1m2j1km/pad
1451 N Alta Vista Drive, 1451 N Alta Vista Drive, Los Angeles, CA,90046, Call, Ceiling Fan; Covered Parking Spaces: 1; Detached Garage; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Tile; Heating system: Central; Heating system: Heat Pump; Laundry: In Unit; MLS Listing ID: 18322224; Refrigerator; Washer; Year Built: 1940,69, 818-223-1750, https://hotpads.com/1451-n-alta-vista-blvd-los-angeles-ca-90046-1n1ye7e/pad
1159 W 36th Street, 1159 W 36th Street, Los Angeles, CA,90007,1850, ,77, hotpads, https://hotpads.com/1159-w-36th-st-los-angeles-ca-90007-1n1tvr9/pad
5464 Yarmouth Avenue, 5464 Yarmouth Avenue, Encino, CA,91316,1525, ,81, hotpads, https://hotpads.com/5464-yarmouth-ave-encino-ca-91316-tg8xaz/pad
159 Ashdale Avenue, 159 Ashdale Avenue, Los Angeles, CA,90049, Call, Attached Garage; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18317526; Refrigerator; Swimming Pool; Washer; Year Built: 1952,9, 310-382-8555, https://hotpads.com/159-ashdale-ave-los-angeles-ca-90049-tp5dx5/pad
1061 S Oxford Avenue, 1061 S Oxford Avenue, Los Angeles, CA,90006, Call, Covered Parking Spaces: 2; Flooring: Hardwood; Heating system: Central; MLS Listing ID: 18318522; Microwave Oven; View Type: City View; Year Built: 2015,23, 213-675-8552, https://hotpads.com/1061-s-oxford-ave-los-angeles-ca-90006-ty1zzc/pad
1619 Talmadge Street, 1619 Talmadge Street, Los Angeles, CA,90027, Call, Architecture Style: Bungalow; Carport; Flooring: Hardwood; Heating system: Central; MLS Listing ID: 17263782; Refrigerator; Year Built: 1907,45, 323-251-6733, https://hotpads.com/1619-talmadge-st-los-angeles-ca-90027-tp6b0w/pad
938 S Orange Grove Avenue, 938 S Orange Grove Avenue, Los Angeles, CA,90036,3500, ,28, hotpads, https://hotpads.com/938-s-orange-grove-ave-404-west-hollywood-los-angeles-ca-90036-1n1x5pv/pad
7227 Sycamore Trail, 7227 Sycamore Trail, Los Angeles, CA,90068, Call, Air Conditioning; Attached Garage; Dryer; Fenced Yard; Fireplace; Flooring: Hardwood; Flooring: Tile; Garage; Garbage Disposal; Laundry: In Unit; Lawn; Master bath; Microwave Oven; Parking Spaces: 2; Patio Balcony; Refrigerator; Small Dogs Allowed; Washer; Yard; Year Built: 1981; Alarm; Range/Oven; Stainless steel appliances; Vaulted Ceiling,26, 661-645-6546, https://hotpads.com/7227-sycamore-trl-los-angeles-ca-90068-u27uut/pad
15935 Archwood Lane, 15935 Archwood Lane, Van Nuys, CA,91406, Call, Air Conditioning; Cats Allowed; Disabled Access; Dryer; Garage; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer,5, 310-938-8723, https://hotpads.com/15935-archwood-ln-van-nuys-ca-91406-u3xz7d/pad
11453 Ghiberti Way, 11453 Ghiberti Way, Porter Ranch, CA,91326, Call, ,41, 818-882-5144, https://hotpads.com/11453-ghiberti-way-porter-ranch-ca-91326-ty8b65/pad
14721 Magnolia Boulevard, 14721 Magnolia Boulevard, Sherman Oaks, CA,91403, Call, Cats Allowed; Dogs Allowed; Garbage Disposal; Large Dogs Allowed; Other Sports Court; Oven; Range; Refrigerator; Small Dogs Allowed; Water included in rent,50, 310-251-1555, https://hotpads.com/14721-magnolia-blvd-sherman-oaks-ca-91403-1m3u6r1/pad
4141 Glencoe Avenue, 4141 Glencoe Avenue, Marina Del Rey, CA,90292,4200, ,21, hotpads, https://hotpads.com/4141-glencoe-ave-marina-del-rey-ca-90292-skmu0s/pad
Madison Hancock Park, 627 N Rossmore Avenue, Los Angeles, CA,90004,2035, Air Conditioning; Cats Allowed; Disabled Access; Flooring: Hardwood; Large Dogs Allowed; Laundry: Shared; Patio Balcony; Small Dogs Allowed,83, 1-323-886-0340, https://hotpads.com/madison-hancock-park-los-angeles-ca-90004-skyn01/pad
4400 Sepulveda Boulevard, 4400 Sepulveda Boulevard, Sherman Oaks, CA,91403, Call, Air Conditioning; Carport; Cats Allowed; Elevator; Flooring: Hardwood; Flooring: Tile; Garage; Garbage included in rent; Heating system: Heat: forced air; Laundry: Shared; Microwave Oven; Parking Spaces: 2; Patio Balcony; Secured entry; Security: Gated Entry; Small Dogs Allowed; Washer; Water included in rent; Range/Oven,85, 818-300-2020, https://hotpads.com/4400-sepulveda-blvd-sherman-oaks-ca-91403-t1zgkx/pad
20006 Roscoe Boulevard, 20006 Roscoe Boulevard, Winnetka, CA,91306, Call, Garbage Disposal; Laundry: Shared; Oven; Parking -; Swimming Pool,32, 818-307-4901, https://hotpads.com/20006-roscoe-blvd-winnetka-ca-91306-1m3h2y3/pad
6634 Woodman Avenue, 6634 Woodman Avenue, Van Nuys, CA,91401,1350, ,21, 626-293-8849, https://hotpads.com/6634-woodman-avenue-van-nuys-ca-91401-sky9ym/pad
The Lennox, 269 S La Fayette Park Place, Los Angeles, CA,90057,1142, Los Angeles County Museum of Art less than a 20-minute drive covers 20 acres with diverse collections including Pre-Columbian and contemporary works as well as screening and concerts.; Mac Arthur Park a city park featuring a lake with geese and views of the Los Angeles skyline set on four blocks is within a 15-minute walk.; Milk a dessert shop serving cupcakes ice cream and milkshakes in flavors such as Mint Chocolate Crunch Triple Chocolate and Strawberry Shortcake is less than a 15-minute drive.; The Grove open-air shopping mall offering a movie theater several dining options and retailers such as Nordstrom Madewell and Michael Kors is a 15-minute drive.,335, 1-818-423-5481, https://hotpads.com/the-lennox-los-angeles-ca-90057-skhke4/pad
4354 Bakman Avenue, 4354 Bakman Avenue, Studio City, CA,91602, Call, Air Conditioning; Flooring: Hardwood; Garage; Laundry: none,51, 818-988-3080, https://hotpads.com/4354-bakman-ave-north-hollywood-ca-91602-1m3w5gg/pad
2832 S Mansfield Avenue, 2832 S Mansfield Avenue, Los Angeles, CA,90016, Call, 2 Blocks From Expo Line; All linen provided; Barbecue; Cable TV Ready; Cable included in rent; Cats Allowed; Ceiling Fan; Dogs Allowed; Fenced Yard; Flooring: Tile; Furnished; Garden; High-speed Internet Ready; Internet included in rent; Laundry: Shared; Microwave Oven; Near Grocery Stores; Near Transportation; Parking Spot; Quite Household/Area; Refrigerator; Security: Gated Entry; Small Dogs Allowed; Street Parking; Utilities included in rent; Yard; Porch,353, 310-869-2266, https://hotpads.com/2832-s-mansfield-ave-los-angeles-ca-90016-1n1uyyk/pad
13117 Venice Boulevard, 13117 Venice Boulevard, Los Angeles, CA,90066, Call, Cats Allowed; Flooring: Hardwood; Off Street Parking; Refrigerator; Small Dogs Allowed; Utilities included in rent,199, 818-724-9195, https://hotpads.com/13117-venice-blvd-los-angeles-ca-90066-1m2sfx2/pad
721 N Orange Grove Avenue, 721 N Orange Grove Avenue, Los Angeles, CA,90046, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer,62, 818-300-5603, https://hotpads.com/721-n-orange-grove-ave-los-angeles-ca-90046-u27njv/pad
Sunset Plaza Apartments, 1211 Sunset Plaza Drive, West Hollywood, CA,90069,4000, Air Conditioning; Building Application Fee: 50; Disabled Access; Dryer; Elevator; Flooring: Hardwood; Grocery and health stores within a 10-minute walk include California Food Stores Trader Joe's and N101 Hollywood.; Heating: Electric; Hot Tub; Laundry: In Unit; One Year Lease; Parks within a 15-minute drive include the West Hollywood Park Beverly Gardens Park and Rosewood Park.; Patio Balcony; Restaurants within a 5-minute walk of the apartments include Rare by Drai's Le Dome Restaurant Brasserie and Cravings Restaurant.; Rooftop Deck; Stories: 5; Swimming Pool; There are a number of lounges and bars within a 5-minute walk such as Whiskey a Go Go The Palms Bar and the East West Lounge.; Underground Garage; View Type: City; View Type: Mountain; Washer,50, 1-424-329-5045, https://hotpads.com/sunset-plaza-apartments-west-hollywood-ca-90069-thvet9/pad
256 S Rampart Boulevard, 256 S Rampart Boulevard, Los Angeles, CA,90057,2050, Cats Allowed; Dogs Allowed; Small Dogs Allowed,58, 323-533-2716, https://hotpads.com/2-bed-2050-los-angeles-ca-90057-synya2/pad
15210 Ventura Boulevard, 15210 Ventura Boulevard, Sherman Oaks, CA,91403, Call, Air Conditioning; Attached Garage; Cable TV Ready; Cats Allowed; Dryer; Elevator; Fitness Center; Flooring: Hardwood; Garage; Garbage Disposal; Laundry: In Unit; Master bath; Microwave Oven; Near Transportation; New property; Parking Spaces: 2; Patio Balcony; Refrigerator; Secured entry; Security: Controlled Access; Security: Gated Entry; Security: Intercom; Washer; Year Built: 2014; Alarm; Double Pane Windows; Range/Oven; Stainless steel appliances; Vaulted Ceiling; Wired,6, 213-400-8666, https://hotpads.com/15210-ventura-blvd-sherman-oaks-ca-91403-sv3ru2/pad
De La Luz Avenue, De La Luz Avenue, Woodland Hills, CA,91364, Call, Air Conditioning; Cats Allowed; Dryer; Garage; Large Dogs Allowed; Laundry: In Unit; Music studio; Patio Balcony; Small Dogs Allowed; Swimming Pool; Washer,55, 323-363-4942, https://hotpads.com/21823-de-la-luz-ave-woodland-hills-ca-91364-1m3s3ah/pad
Burton Way, 8665 Burton Way, Los Angeles, CA,90048,3265, Availability 24 Hours; BBQ/Picnic Area; Bicycle Storage; Cable TV Ready; Cats Allowed; Central Air/Heating; Close to Fine Dining and Great Shopping; Detached Garage; Disabled Access; Dishwasher; Dogs Allowed; Electronic Thermostat; Elevator; Fireplace; Fitness Center; Flooring: Hardwood; Free Weights; Fully Renovated Units; Furnished; Garage; Garbage Disposal; Laundry: Shared; Microwave Oven; Off Street Parking; On-Site Maintenance; On-Site Management; Patio Balcony; Penthouse; Plasma TVs*; Range; Recycling; Refrigerator; Security: Gated Entry; Short Term Lease; Small Dogs Allowed; Spa; Stories: 5; Swimming Pool; Vaulted Ceilings*; View; Walk In Closet*; Window Coverings,54, 1-424-610-8422, https://hotpads.com/burton-way-los-angeles-ca-90048-skfmz1/pad
1625 Colby Avenue, 1625 Colby Avenue, Los Angeles, CA,90025,3700, Air Conditioning; Dishwasher; Fireplace; Flooring: Hardwood; Garage; Garbage Disposal; Heating: Electric; Heating: Gas; Laundry: Shared; Microwave Oven; One Year Lease; Oven; Patio Balcony; Range; Refrigerator; Security: Controlled Access; Security: Gated Entry; Sewage included in rent; Underground Garage,24, 310-391-1557, https://hotpads.com/newly-renovated-spacious-2bed-2-bath-los-angeles-ca-90025-1m2m0uz/pad
5315 W 9th Street, 5315 W 9th Street, Los Angeles, CA,90036, Call, Air Conditioning; Cats Allowed; Dryer; Electricity not included in rent; Garage; Garbage not included in rent; Gas not included in rent; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer; Water not included in rent,7, 323-828-2729, https://hotpads.com/5315-w-9th-st-los-angeles-ca-90036-1prakr5/pad
14646 Morrison Street, 14646 Morrison Street, Sherman Oaks, CA,91403, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Garage; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer,18, 510-685-7235, https://hotpads.com/14646-morrison-st-sherman-oaks-ca-91403-1m3u6hn/pad
3581 Multiview Drive, 3581 Multiview Drive, Los Angeles, CA,90068, Call, Architecture Style: Contemporary; Attached Garage; Covered Parking Spaces: 10; Fireplace; Fitness Center; Flooring: Hardwood; Flooring: Tile; Freezer; Garbage Disposal; Heating system: Central; MLS Listing ID: 17259200; Microwave Oven; Patio Balcony; Refrigerator; Sauna; Swimming Pool; View Type: City View; View Type: Mountain View; View Type: Territorial View; Washer; Year Built: 2016,12, 310-724-7100, https://hotpads.com/3581-multiview-dr-los-angeles-ca-90068-skxry8/pad
1940 Carmen Avenue, 1940 Carmen Avenue, Los Angeles, CA,90068, Call, Carport; Covered Parking Spaces: 1; Flooring: Laminate; Furnished; Heating system: Central; MLS Listing ID: 15908451; Swimming Pool; Year Built: 1958,21, 949-500-9045, https://hotpads.com/1940-carmen-ave-los-angeles-ca-90068-spe1zn/pad
1356 Mcduff Street, 1356 Mcduff Street, Los Angeles, CA,90026, Call, Architecture Style: Modern; Covered Parking Spaces: 2; Dryer; Flooring: Hardwood; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18319398; View Type: Territorial View; Washer; Year Built: 1924,47, 323-359-5024, https://hotpads.com/1356-mcduff-st-los-angeles-ca-90026-typ1tf/pad
20546 Como Lane, 20546 Como Lane, Porter Ranch, CA,91326, Call, Attached Garage; Ceiling Fan; Dryer; Exterior Type: Stucco; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Tile; Heating: Gas; Laundry: In Unit; MLS Listing ID: SR18049368; Playground; Refrigerator; Security: Doorman; Security: Gated Entry; Sprinkler System; Washer; Year Built: 2001; Fenced Yard; Range/Oven,8, 818-527-2272, https://hotpads.com/20546-como-ln-porter-ranch-ca-91326-1m3kn4s/pad
3421 Arlington Avenue, 3421 Arlington Avenue, Los Angeles, CA,90018, Call, Year Built: 1926,68, 323-799-6783, https://hotpads.com/3421-arlington-ave-los-angeles-ca-90018-1m2jxeh/pad
5308 Sepulveda Boulevard, 5308 Sepulveda Boulevard, Sherman Oaks, CA,91411,3295, ,36, hotpads, https://hotpads.com/5308-sepulveda-blvd-van-nuys-ca-91411-wcu50n/pad
Sophia Avenue, Sophia Avenue, Van Nuys, CA,91406, Call, Dogs Allowed; Room number of roommates: 2,136, 213-842-6164, https://hotpads.com/7002-sophia-ave-van-nuys-ca-91406-1m3uwbm/pad
10501 Wilshire, 10501 Wilshire, Los Angeles, CA,90024,2400, ,64, hotpads, https://hotpads.com/10501-wilshire-blvd-los-angeles-ca-90024-skp8vk/pad
1323 S Ridgeley Drive, 1323 S Ridgeley Drive, Los Angeles, CA,90019,3150, Flooring: Hardwood; Garage; Laundry: Shared; Patio Balcony; Small Dogs Allowed,27, 310-425-8513, https://hotpads.com/1323-s-ridgeley-dr-los-angeles-ca-90019-ttuxh4/pad
5371 Topeka Drive, 5371 Topeka Drive, Tarzana, CA,91356, Call, MLS Listing ID: SR18025003; Year Built: 2018,13, 818-205-8800, https://hotpads.com/5371-topeka-dr-tarzana-ca-91356-1ty4007/pad
2830 S Kerckhoff Avenue, 2830 S Kerckhoff Avenue, San Pedro, CA,90731, Call, Ceiling Fan; Condo Floor Number: 1; Deck; Dryer; Flooring: Hardwood; Flooring: Tile; Furnished; Garden; Heating system: Energy Star; Heating system: High Efficiency; Internet included in rent; Laundry: In Unit; MLS Listing ID: PV17277206; Microwave Oven; Patio Balcony; Refrigerator; Roof Type: Composition; School District: Los Angeles Unified; Utilities included in rent; View Type: Orchard/Grove; View Type: See Remarks; Washer; Year Built: 1922; Double Pane Windows; Porch; Range/Oven; Wired,28, 310-408-4018, https://hotpads.com/2830-s-kerckhoff-ave-san-pedro-ca-90731-1n24av2/pad
438 S Sycamore Avenue, 438 S Sycamore Avenue, Los Angeles, CA,90036, Call, Cable TV Ready; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Flooring: Stone; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18312090; Microwave Oven; Refrigerator; Swimming Pool; Washer; Year Built: 1924,16, 310-600-6615, https://hotpads.com/438-s-sycamore-ave-los-angeles-ca-90036-sm2xns/pad
1424 Stearns Drive, 1424 Stearns Drive, Los Angeles, CA,90035, Call, Architecture Style: Tudor; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Tile; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17276876; Refrigerator; Washer; Year Built: 1925,21, 310-498-4942, https://hotpads.com/1424-stearns-dr-los-angeles-ca-90035-1m2nwn6/pad
153 N New Hampshire Avenue, 153 N New Hampshire Avenue, Los Angeles, CA,90004, Call, Cats Allowed; Condo Floor Number: 1; Elevator; Flooring: Hardwood; Laundry: Shared; Near Transportation; Refrigerator; Secured entry; Utilities included in rent; Vintage; Year Built: 1926; Range/Oven,89, 310-710-9361, https://hotpads.com/153-n-new-hampshire-ave-los-angeles-ca-90004-skk15v/pad
8715 S Wilton Place, 8715 S Wilton Place, Los Angeles, CA,90047, Call, Covered Parking Spaces: 2; Fireplace; Flooring: Hardwood; Heating system: Central; MLS Listing ID: 18309582; Washer; Year Built: 1938,23, 310-647-7730, https://hotpads.com/8715-s-wilton-pl-los-angeles-ca-90047-1n1yvae/pad
808 N Croft Avenue, 808 N Croft Avenue, Los Angeles, CA,90069, Call, Architecture Style: Traditional; Fireplace; MLS Listing ID: 17-290320; Year Built: 1925,37, 310-777-6200, https://hotpads.com/808-n-croft-ave-west-hollywood-ca-90069-u733xx/pad
435 N Formosa Avenue, 435 N Formosa Avenue, Los Angeles, CA,90036, Call, Architecture Style: Traditional; Fireplace; MLS Listing ID: 18-321498; Swimming Pool; Year Built: 1927,43, 323-860-4245, https://hotpads.com/435-n-formosa-ave-los-angeles-ca-90036-1n1x215/pad
14360 Valerio Street, 14360 Valerio Street, Van Nuys, CA,91405,1649, ,59, 818-442-0100, https://hotpads.com/14360-valerio-street-van-nuys-ca-91405-sntgk6/pad
18530 Hatteras Street, 18530 Hatteras Street, Tarzana, CA,91356,1595, ,74, hotpads, https://hotpads.com/18530-hatteras-st-tarzana-ca-91356-sku41k/pad
5840 White Oak Avenue, 5840 White Oak Avenue, Encino, CA,91316, Call, Attached Garage; Cable TV Ready; Condo Floor Number: 1; Covered Parking Spaces: 1; Dryer; Fireplace; Flooring: Hardwood; Freezer; Furnished; Heating system: Central Furnace; Laundry: In Unit; Lawn; MLS Listing ID: SR18001531; Microwave Oven; Patio Balcony; Refrigerator; School District: Los Angeles Unified; View Type: None; Washer; Year Built: 1949; Porch,9, 818-224-4600, https://hotpads.com/5840-white-oak-ave-encino-ca-91316-skvqa5/pad
6450 Hayes Drive, 6450 Hayes Drive, Los Angeles, CA,90048, Call, Flooring: Hardwood; Flooring: Tile; Heating system: Floor Furnace; MLS Listing ID: 17284952; No Air Conditioning; Year Built: 1924,42, 310-980-3384, https://hotpads.com/6450-hayes-dr-los-angeles-ca-90048-u20kbr/pad
621 San Juan Avenue, 621 San Juan Avenue, Venice, CA,90291, Call, Architecture Style: Modern; Attached Garage; Carport; Covered Parking Spaces: 2; Dryer; Flooring: Hardwood; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17291484; Microwave Oven; Patio Balcony; Refrigerator; Security: Gated Entry; View Type: City View; Washer; Year Built: 2008,7, 424-402-9189, https://hotpads.com/621-san-juan-ave-venice-ca-90291-sq56g1/pad
1014 1/2 N Virgil Avenue, 1014 1/2 N Virgil Avenue, Los Angeles, CA,90029, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Garbage Disposal; Laundry: In Unit; Off Street Parking; Refrigerator; Small Dogs Allowed; Vintage; Washer; Range/Oven,27, 213-986-8911, https://hotpads.com/1014-12-n-virgil-ave-los-angeles-ca-90029-1q45rmv/pad
Kingsley Drive, 737 S Kingsley Drive, Los Angeles, CA,90005,1895, Air Conditioning; Assigned Parking; Beautiful Landscaping; Cable TV Ready; Carpeted Floors; Cats Allowed; Central Air/Heating; Detached Garage; Disability Access; Dishwasher; Easy Access to Freeways; Easy Access to Shopping; Elevator; Fireplace; Fitness Center; Garage; Garbage Disposal; Golf Putting Green; Granite Counter Top; Guest Suite; Intrusion Alarm; Large Dogs Allowed; Laundry: Shared; Mirrored Closet Doors; Off Street Parking; On-Site Maintenance; Picnic Area; Refrigerator; Sauna; Security: Gated Entry; Small Dogs Allowed; Spa; Stainless Steel Appliances; Swimming Pool; Vertical Blinds; Wine Cooler,65, 1-323-688-6039, https://hotpads.com/kingsley-drive-los-angeles-ca-90005-skfn0z/pad
Harvard Villa Apartments, 20341 Harvard Boulevard, Torrance, CA,90501,1595, 24 Hour Maintenance; Building Application Fee: 35; Building Deposit Fee Maximum: 1550; Building Deposit Fee Minimum: 800; Ceiling Fan; Dogs Allowed; Flooring: Carpet; Flooring: Softwood; Freezer; Garbage Disposal; Garbage included in rent; Heating included in rent; Heating: Gas; Hot water included in rent; Laundry: Shared; One Year Lease; Online Rent Payment; Oven; Parking Lot; Range; Refrigerator; Security: Gated Entry; Small Dogs Allowed; Spanish Speaking Staff; View Type: Territorial; Water included in rent; Year Remodeled: 2017,87, 1-213-238-5451, https://hotpads.com/harvard-villa-apartments-torrance-ca-90501-t0gvjs/pad
1168 N Kingsley Drive, 1168 N Kingsley Drive, Los Angeles, CA,90029, Call, Dryer; Laundry: In Unit; Off Street Parking; Washer,30, 818-384-9837, https://hotpads.com/1168-n-kingsley-dr-los-angeles-ca-90029-1n1wgkc/pad
9605 1/2 S Avalon Boulevard, 9605 1/2 S Avalon Boulevard, Los Angeles, CA,90003, Call, Cats Allowed; Electricity not included in rent; Gas not included in rent; Laundry: none; Small Dogs Allowed,61, hotpads, https://hotpads.com/9605-12-avalon-blvd-los-angeles-ca-90003-1t17wqh/pad
2362 Century Hill, 2362 Century Hill, Los Angeles, CA,90067, Call, Barbecue; Basketball Court; Cable TV Ready; Club House; Covered Parking Spaces: 30; Dryer; Elevator; Fireplace; Fitness Center; Flooring: Hardwood; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18306276; Microwave Oven; Refrigerator; Sauna; Security: Controlled Access; Security: Gated Entry; Swimming Pool; Tennis Court; Washer; Year Built: 1980; Concierge; Spa,9, 310-247-7770, https://hotpads.com/2362-century-hl-los-angeles-ca-90067-tzy3be/pad
4906 Rubio Avenue, 4906 Rubio Avenue, Encino, CA,91436, Call, Condo Floor Number: 2; Covered Parking Spaces: 2; Fireplace; Heating system: Central Furnace; MLS Listing ID: SR18046768; School District: Los Angeles Unified; Swimming Pool; View Type: None; Year Built: 2007,8, 310-990-0063, https://hotpads.com/4906-rubio-ave-encino-ca-91436-skv5mw/pad
5824 Kentland Avenue, 5824 Kentland Avenue, Woodland Hills, CA,91367, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Garage; Large Dogs Allowed; Laundry: In Unit; Small Dogs Allowed; Washer,18, 818-254-5448, https://hotpads.com/5824-kentland-ave-woodland-hills-ca-91367-1m3skwq/pad
16220 Schoenborn Street, 16220 Schoenborn Street, Los Angeles, CA,91343, Call, Condo Floor Number: 1; Covered Parking Spaces: 2; Dryer; Flooring: Hardwood; Garbage Disposal; Gas included in rent; Heating system: Central Furnace; Laundry: In Unit; MLS Listing ID: SR18042416; Microwave Oven; Refrigerator; School District: Los Angeles Unified; View Type: None; Washer; Water included in rent; Year Built: 1952; Range/Oven,20, 818-314-7911, https://hotpads.com/16220-schoenborn-st-north-hills-ca-91343-1m3nkb3/pad
761 E 76th Place, 761 E 76th Place, Los Angeles, CA,90001, Call, Dryer; Garage; Laundry: In Unit; Refrigerator; Sewage included in rent; Washer; Water included in rent,16, 213-763-6112, https://hotpads.com/761-e-76th-pl-los-angeles-ca-90001-1tzexz7/pad
1834 S Bentley Avenue, 1834 S Bentley Avenue, Los Angeles, CA,90025,2000, Air Conditioning; Dishwasher; Elevator; Laundry: Shared; Microwave Oven; One Year Lease; Oven; Patio Balcony; Refrigerator; Security: Controlled Access; Small Dogs Allowed,60, 310-405-5126, https://hotpads.com/1834-s-bentley-ave-los-angeles-ca-90025-1n1w4jq/pad
817 S Saint Andrews Place, 817 S Saint Andrews Place, Los Angeles, CA,90005,1595, ,116, hotpads, https://hotpads.com/817-s-saint-andrews-pl-los-angeles-ca-90005-sm2a1m/pad
2519 S Orange Drive, 2519 S Orange Drive, Los Angeles, CA,90016, Call, Covered Parking Spaces: 4; Dryer; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18303526; Microwave Oven; Refrigerator; Washer; Year Built: 1923,46, 323-315-1523, https://hotpads.com/2519-s-orange-dr-los-angeles-ca-90016-1n1uxrj/pad
15405 Vanowen, 15405 Vanowen, Van Nuys, CA,91406, Call, ,36, 818-988-3845, https://hotpads.com/15405-vanowen-st-van-nuys-ca-91406-skpe04/pad
12727 Daryl Avenue, 12727 Daryl Avenue, Granada Hills, CA,91344, Call, Cats Allowed; Dogs Allowed; Small Dogs Allowed,13, 818-905-7306, https://hotpads.com/12727-daryl-ave-granada-hills-ca-91344-1m3p0d1/pad
1223-1227 W 37th Place, 1223-1227 W 37th Place, Los Angeles, CA,90007,4300, ,9, 949-916-2300, https://hotpads.com/1223-1227-w-37th-pl-los-angeles-ca-90007-1pj61k1/pad
6456 Olcott Street, 6456 Olcott Street, Tujunga, CA,91042, Call, Air Conditioning; Dishwasher; Flooring: Hardwood; Utilities fee required,42, 412-414-1918, https://hotpads.com/6456-olcott-st-tujunga-ca-91042-1m3e234/pad
1098 Everett Place, 1098 Everett Place, Los Angeles, CA,90026, Call, Air Conditioning; Dryer; Flooring: Hardwood; Garage; Laundry: In Unit; Patio Balcony; Small Dogs Allowed; Washer,14, hotpads, https://hotpads.com/1098-everett-pl-los-angeles-ca-90026-ty468u/pad
6064 Colfax Avenue, 6064 Colfax Avenue, North Hollywood, CA,91606,2595, Air Conditioning; Assigned Outdoor Parking; Cable TV Ready; Elevator; Garbage Disposal; Laundry: Hookups; Microwave Oven; Pets Allowed; Refrigerator; Stove; Townhouse; Washer; Washer/Dryer Hookups; Year Built: 2016; Cable-ready*; Ceiling Fans*; Central Air Conditioning*; Dishwasher*; Elevator*; Garbage Disposal*; High Ceilings*; Microwave*; Pets Allowed*; Refrigerator*; Stove*; Townhouse*; W/D Hookups*,14, 424-253-5550, https://hotpads.com/2-bed-25-bath-1239-sqft-2595-north-hollywood-ca-91606-1m3wz6c/pad
1311 Mohawk Street, 1311 Mohawk Street, Los Angeles, CA,90026, Call, Air Conditioning; Cats Allowed; Dryer; Laundry: In Unit; No Utilities included in rent; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer,79, 920-246-3325, https://hotpads.com/1311-mohawk-st-los-angeles-ca-90026-1m2m6yw/pad
3719 Buena Park Drive, 3719 Buena Park Drive, Studio City, CA,91604, Call, Attached Garage; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18318822; Microwave Oven; Patio Balcony; Refrigerator; Swimming Pool; Washer; Year Built: 1949,66, 310-788-0700, https://hotpads.com/3719-buena-park-dr-studio-city-ca-91604-1m3wdj5/pad
9023 Hopen Place, 9023 Hopen Place, Los Angeles, CA,90069, Call, Attached Garage; Cable TV Ready; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18317952; Microwave Oven; Refrigerator; Swimming Pool; View Type: City View; Washer; Year Built: 1966,7, 323-251-7883, https://hotpads.com/9023-hopen-pl-west-hollywood-ca-90069-1m2t48v/pad
