apt name, street, city, state, zip code, min price, amenities, recent viewed, url
1509 Pleasant Avenue, 1509 Pleasant Avenue, Los Angeles, CA, 90033, 1750, Flooring: Softwood; Laundry: Shared; One Year Lease; View Type: City, 28, https://hotpads.com/1-bdrm-1750-los-angeles-ca-90033-tyx5k6/pad
2218 7th Avenue, 2218 7th Avenue, Los Angeles, CA, 90018, 1475, Apply on Web-Site: www.alliancela.com; Cable TV Ready; Garbage Disposal; No Parking; Pets Allowed; Year Built: 1923; Apply on Web-Site: www.alliancela.com*, 113, https://hotpads.com/1-bed-10-bath-416-sqft-1475-los-angeles-ca-90018-tzt8ft/pad
454 Seaton Street #3A, 454 Seaton Street #3A, Los Angeles, CA, 90013, Call, Air Conditioning; Cats Allowed; Electricity included in rent; Flooring: Hardwood; Furnished; Garbage included in rent; Gas included in rent; Small Dogs Allowed; Water included in rent, 47, https://hotpads.com/3a/pad
33 North, 8935 Orion Avenue, North Hills, CA, 91343, 1750, Air Conditioning; Barbecue; Building Application Fee: 48; Cable TV Ready; Cats Allowed; Deck; Disabled Access; Dishwasher; Dryer; Elevator; Flooring: Carpet; Flooring: Hardwood; Flooring: Laminate; Flooring: Vinyl; Freezer; Garage; Garbage Disposal; Heating: Electric; Heating: Gas; High-speed Internet Ready; Laundry: In Unit; Less Than One Year Lease; Lounge; Microwave Oven; More Than One Year Lease; On-Site Management; One Year Lease; Online Rent Payment; Oven; Patio; Patio Balcony; Picnic Area; Range; Refrigerator; Satellite TV Ready; Security: Controlled Access; Security: Gated Entry; Security: Intercom; Spanish Speaking Staff; Stories: 5; Underground Garage; View Type: City; View Type: Mountain; Washer; Year Built: 2018, 37, https://hotpads.com/33-north-north-hills-ca-91343-1m3nqk8/pad
Clubhouse, Clubhouse, Venice, CA, 90291, 2395, , 61, https://hotpads.com/33-clubhouse-ave-venice-ca-90291-1m2zj88/pad
649 Midvale Avenue, 649 Midvale Avenue, Los Angeles, CA, 90024, 5000, Dryer; Fireplace; Laundry: In Unit; Parking -; Washer, 35, https://hotpads.com/3-bed-5000-los-angeles-ca-90024-sm9r5e/pad
478 Landfair Avenue, 478 Landfair Avenue, Los Angeles, CA, 90024, 2200, Laundry: Shared; No Utilities included in rent; close to campus; no party building; parking available, 31, https://hotpads.com/1-bed-2200-los-angeles-ca-90024-t1kcbv/pad
17204 Chatsworth St - Chatsworth Street, 17204 Chatsworth St - Chatsworth Street, Granada Hills, CA, 91344, 1975, Cats Allowed; Dogs Allowed; Small Dogs Allowed, 38, https://hotpads.com/2-bed-1100-sqft-1975-granada-hills-ca-91344-tttu8u/pad
1345 1/2 38th Street, 1345 1/2 38th Street, Los Angeles, CA, 90062, 1600, , 19, https://hotpads.com/1-bed-1600-los-angeles-ca-90062-1qbzbwm/pad
357 S Curson Avenue #6J, 357 S Curson Avenue #6J, Los Angeles, CA, 90036, Call, Fitness Center; Jetted Bathtub; Microwave Oven; Swimming Pool; Washer, 12, https://hotpads.com/6j/pad
11035 Oxnard Street, 11035 Oxnard Street, Los Angeles, CA, 91606, 2195, Air Conditioning; Assigned Outdoor Parking; Cable TV Ready; Laundry: Hookups; Pets Allowed; Washer/Dryer Hookups; Year Built: 2015; Cable-ready*; Ceiling Fans*; Central Air Conditioning*; Dishwasher*; Garbage Disposal*; Microwave*; Pets Allowed*; Stove*; Townhouse*; W/D Hookups*; Washer/Dryer In Unit*, 34, https://hotpads.com/2-bed-25-bath-1009-sqft-2195-north-hollywood-ca-91606-ty4v2z/pad
