id, apt, street, city, state, zipcode, soundscore, rent, tele, url
149, 3144 Canfield, 3144 Canfield Ave, Los Angeles, CA, 90034, 65, $2850, 855-556-1244, https://www.apartments.com/3144-canfield-los-angeles-ca/bt62p2c/
150, Roberts Hall, 670 Kelton Ave, Los Angeles, CA, 90024, 71, Call for Rent, 424-320-5666, https://www.apartments.com/roberts-hall-los-angeles-ca/fj62cdv/
151, Morgan Lofts, 3324-3330 Wilshire Blvd, Los Angeles, CA, 90010, 65, $2100 - 4600, 844-410-0512, https://www.apartments.com/morgan-lofts-los-angeles-ca/vctn9lf/
152, Orange Towers, 1757 N Orange Dr, Hollywood, CA, 90028, 70, $1950 - 2700, 844-380-2423, https://www.apartments.com/orange-towers-hollywood-ca/m1l7vrl/
153, Residences at Woodlake, 4555 W Martin Luther King Jr Blvd, Los Angeles, CA, 90016, 72, $1670 - 2180, 310-846-8835, https://www.apartments.com/residences-at-woodlake-los-angeles-ca/tcjt8s8/
154, Casa De Vida, 3230 Overland Ave, Los Angeles, CA, 90034, 65, $2100 - 2150, 844-877-8862, https://www.apartments.com/casa-de-vida-los-angeles-ca/js1rfw7/
155, Hollywood Pointe Apartments, 6711 Yucca St, Los Angeles, CA, 90028, 67, $1525, 747-208-7823, https://www.apartments.com/hollywood-pointe-apartments-los-angeles-ca/e6fehxp/
156, Bluffside Terrace Apartments, 10915 Bluffside Dr, Studio City, CA, 91604, 61, $1575 - 2195, 844-335-7892, https://www.apartments.com/bluffside-terrace-apartments-studio-city-ca/jprjql6/
157, Hollywood Royale Apartments, 1545 N Hobart Blvd, Los Angeles, CA, 90027, 67, $1200, 323-856-1736, https://www.apartments.com/hollywood-royale-apartments-los-angeles-ca/xstnyxq/
158, 10401 Wilshire Building, 10401 Wilshire Blvd, Los Angeles, CA, 90024, 68, $2360 - 3570, 844-640-8911, https://www.apartments.com/10401-wilshire-building-los-angeles-ca/b3qk6wc/
159, Chateau Mansfield, 1318 N Mansfield Ave, Los Angeles, CA, 90028, 64, $2135, 844-224-9659, https://www.apartments.com/chateau-mansfield-los-angeles-ca/zyppqlz/
160, Studio Arnaz, 320 S Arnaz Dr, Los Angeles, CA, 90048, 69, $1892, 844-778-4964, https://www.apartments.com/studio-arnaz-los-angeles-ca/tp44e6c/
161, Catalina Luxury Apartments, 3930 Laurel Canyon Blvd, Studio City, CA, 91604, 72, $1995 - 2850, 844-857-5825, https://www.apartments.com/catalina-luxury-apartments-studio-city-ca/qbf56bx/
162, 6651 Franklin, 6651 Franklin Ave, Los Angeles, CA, 90028, 64, $1699 - 2800, 844-882-3432, https://www.apartments.com/6651-franklin-los-angeles-ca/4p3m07l/
163, Studios at Bronson, 1417 N Bronson Ave, Los Angeles, CA, 90028, 68, $1495 - 1695, 844-538-4099, https://www.apartments.com/studios-at-bronson-los-angeles-ca/fbgdx7t/
164, The Lido, 6500 Yucca St, Hollywood, CA, 90028, 65, $2402 - 3172, 424-260-5173, https://www.apartments.com/the-lido-hollywood-ca/z6442fw/
165, Towers at Hollywood Hills, 1800 N Normandie Ave, Los Feliz, CA, 90027, 70, $1795 - 2875, 844-278-8331, https://www.apartments.com/towers-at-hollywood-hills-los-feliz-ca/mmg6dkj/
166, Keswick Avenue, 10302-10306 Keswick Ave, Los Angeles, CA, 90064, 73, Call for Rent, 844-298-0284, https://www.apartments.com/keswick-avenue-los-angeles-ca/e39ht3p/
167, Wooster, 835 S Wooster St, Los Angeles, CA, 90035, 71, Call for Rent, 844-580-9852, https://www.apartments.com/wooster-los-angeles-ca/dcw8y1l/
168, Geneva at Hughes, 3627 Hughes Ave, Los Angeles, CA, 90034, 66, Call for Rent, 424-543-9805, https://www.apartments.com/geneva-at-hughes-los-angeles-ca/jlefle7/
169, USC STUDENT HOUSING 37TH PLACE, 1216-1222 W 37th Pl, Los Angeles, CA, 90007, 72, $1420 - 3675, 844-260-0629, https://www.apartments.com/usc-student-housing-37th-place-los-angeles-ca/cclzx2g/
170, USC WEST STUDENT HOUSING, 1241 W 37th Pl, Los Angeles, CA, 90007, 72, $6100 - 6200, 844-267-0120, https://www.apartments.com/usc-west-student-housing-los-angeles-ca/39d0cqf/
171, USC STUDENT HOUSING CAMPUS VIEW, 1168 W 36th Pl, Los Angeles, CA, 90007, 70, $4395 - 4650, 323-746-2376, https://www.apartments.com/usc-student-housing-campus-view-los-angeles-ca/hrfe4n0/
172, 10600 Wilshire, 10600 Wilshire Blvd, Los Angeles, CA, 90024, 72, $2400 - 4000, 844-874-6593, https://www.apartments.com/10600-wilshire-los-angeles-ca/3qmd6yf/
173, Berendo Terrace, 689 S Berendo St, Los Angeles, CA, 90005, 68, $2540 - 2950, 877-590-9608, https://www.apartments.com/berendo-terrace-los-angeles-ca/xye76zq/
174, Westwood Riviera, 10969 Wellworth Ave, Los Angeles, CA, 90024, 66, $1995 - 2650, 747-248-0467, https://www.apartments.com/westwood-riviera-los-angeles-ca/5wvjxln/
175, The Westgate Collection, 1515 S Westgate Ave, Los Angeles, CA, 90025, 68, $4107 - 4307, 818-588-4865, https://www.apartments.com/the-westgate-collection-los-angeles-ca/zcz87yw/
176, Hauser Apartments, 625 Hauser Blvd, Los Angeles, CA, 90036, 68, $2700, 844-209-8095, https://www.apartments.com/hauser-apartments-los-angeles-ca/2pwnvw8/
177, 7020 Lanewood Apartments, 7020 Lanewood Ave, Hollywood, CA, 90028, 67, $2700, 844-836-5371, https://www.apartments.com/7020-lanewood-apartments-hollywood-ca/j62ync4/
178, Cahuenga Heights - Amazing Views!, 2104 N Cahuenga Blvd, Los Angeles, CA, 90068, 66, $2425 - 2450, 844-864-9575, https://www.apartments.com/cahuenga-heights-amazing-views-los-angeles-ca/w5v54gk/
179, Archview Apartments, 4150 Arch Dr, Studio City, CA, 91604, 69, $2450, 844-877-4862, https://www.apartments.com/archview-apartments-studio-city-ca/pbwzr1s/
180, The Gershwin Apartments, 5533 Hollywood Blvd, Los Angeles, CA, 90028, 61, $1300 - 2750, 844-818-1501, https://www.apartments.com/the-gershwin-apartments-los-angeles-ca/kymc268/
181, Cahuenga Place - Former Site Hanna Barbara, 3400 Cahuenga Blvd W, Los Angeles, CA, 90068, 61, $2499 - 2750, 323-380-1157, https://www.apartments.com/cahuenga-place-former-site-hanna-barbara-los-angeles-ca/3n6ybne/
182, Hancock Terrace Apartments, 538 S Manhattan Pl, Los Angeles, CA, 90020, 64, $1750, 844-614-9212, https://www.apartments.com/hancock-terrace-apartments-los-angeles-ca/5r99bvm/
183, The Fleur De Lis, 1825 N Whitley Ave, Los Angeles, CA, 90028, 68, $1200 - 1805, 888-239-1924, https://www.apartments.com/the-fleur-de-lis-los-angeles-ca/t9xybp8/
184, 1800 Whitley, 1800 N Whitley Ave, Los Angeles, CA, 90028, 67, $2995 - 4295, 844-386-1040, https://www.apartments.com/1800-whitley-los-angeles-ca/r9wryp2/
185, Strathmore Regency Apartments, 11050 Strathmore Dr, Los Angeles, CA, 90024, 71, $2045 - 5145, 844-408-8432, https://www.apartments.com/strathmore-regency-apartments-los-angeles-ca/mndj54l/
186, The Langham, 715 S Normandie Ave, Los Angeles, CA, 90005, 67, $1050 - 2250, 213-814-1107, https://www.apartments.com/the-langham-los-angeles-ca/n7ssnbm/
187, 102 S Oxford Ave, 102 S Oxford Ave, Los Angeles, CA, 90004, 69, $1600, 213-425-3589, https://www.apartments.com/102-s-oxford-ave-los-angeles-ca/1r753r6/
188, The Avalon Catalina Apartments, 324 S Catalina St, Los Angeles, CA, 90020, 67, $1395 - 1495, 844-588-0574, https://www.apartments.com/the-avalon-catalina-apartments-los-angeles-ca/9wnsek7/
189, 1820 Whitley, 1820 Whitley Ave, Hollywood, CA, 90028, 67, $1809 - 2884, 844-887-6919, https://www.apartments.com/1820-whitley-hollywood-ca/n3g3sfn/
190, Palms Court, 10125 Palms Blvd, Los Angeles, CA, 90034, 65, $2850 - 2995, 844-280-7897, https://www.apartments.com/palms-court-los-angeles-ca/mcjnykh/
191, National Apartments, 11650 National Blvd, Los Angeles, CA, 90064, 66, $2250 - 2795, 424-442-1742, https://www.apartments.com/national-apartments-los-angeles-ca/1e89h64/
192, La Vista Terrace, 7275 Franklin Ave, Los Angeles, CA, 90046, 70, $2000 - 2300, 323-472-9452, https://www.apartments.com/la-vista-terrace-los-angeles-ca/grdkfdz/
193, Westside Collection, 3165 Sawtelle Blvd, Los Angeles, CA, 90066, 63, $2517 - 3669, 844-598-3657, https://www.apartments.com/westside-collection-los-angeles-ca/re2xyz3/
194, Verse Hollywood, 1530 N Poinsettia Pl, Los Angeles, CA, 90046, 69, $2479 - 3229, 844-293-8961, https://www.apartments.com/verse-hollywood-los-angeles-ca/6t5p2ys/
195, Santo Tomas Apartments, 4318 Santo Tomas Dr, Los Angeles, CA, 90008, 75, $1255 - 2350, 213-785-3307, https://www.apartments.com/santo-tomas-apartments-los-angeles-ca/w8n6c2j/
196, Santa Rosalia Apartment Homes, 4220 Santa Rosalia Dr, Los Angeles, CA, 90008, 73, $1100 - 1625, 877-215-9434, https://www.apartments.com/santa-rosalia-apartment-homes-los-angeles-ca/kypgg28/
197, Indie Westside Apartments, 3740 Keystone Ave, Los Angeles, CA, 90034, 66, $2917, 844-380-3921, https://www.apartments.com/indie-westside-apartments-los-angeles-ca/y6skbzt/
198, 435 S Mariposa Ave, 435 S Mariposa Ave, Los Angeles, CA, 90020, 67, Call for Rent, 844-219-4312, https://www.apartments.com/435-s-mariposa-ave-los-angeles-ca/e89pd9p/
199, Hillside View, 7280 Hillside Ave, Los Angeles, CA, 90046, 70, $2425 - 2475, 844-321-0381, https://www.apartments.com/hillside-view-los-angeles-ca/5dh4c5m/
200, Villa Doheny I & II, 323 S Doheny Dr, Los Angeles, CA, 90048, 70, Call for Rent, 866-722-5269, https://www.apartments.com/villa-doheny-i-ii-los-angeles-ca/l07mj5d/
201, The Versailles, 608 S St Andrews Pl, Los Angeles, CA, 90005, 66, $2950, 213-358-2489, https://www.apartments.com/the-versailles-los-angeles-ca/2y58sr8/
202, 1317 N Bronson Ave, 1317 N Bronson Ave, Los Angeles, CA, 90028, 68, Call for Rent, 844-775-5377, https://www.apartments.com/1317-n-bronson-ave-los-angeles-ca/qxby5dy/
203, Rose Apartments, 10853 Rose Ave, Los Angeles, CA, 90034, 68, $2715 - 2910, 844-892-6481, https://www.apartments.com/rose-apartments-los-angeles-ca/4lwg8dj/
204, Croft Plaza, 832 N Croft St, Los Angeles, CA, 90069, 72, Call for Rent, 844-206-8106, https://www.apartments.com/croft-plaza-los-angeles-ca/kzvlp9c/
205, Vista Apartments, 11811 W Washington Pl, Mar Vista, CA, 90066, 71, $1895, 424-228-9736, https://www.apartments.com/vista-apartments-mar-vista-ca/s08hdt4/
206, Lexington at Fedora, 844-854 Fedora St, Los Angeles, CA, 90005, 69, $2600 - 2750, 949-274-7827, https://www.apartments.com/lexington-at-fedora-los-angeles-ca/5j03g5p/
207, Kingsley Plaza, 444 S Kingsley Dr, Los Angeles, CA, 90020, 68, $1475 - 2100, 844-774-0384, https://www.apartments.com/kingsley-plaza-los-angeles-ca/2d52k9b/
208, Forty6Twenty Apartments, 4620 S Slauson Ave, Culver City, CA, 90230, 69, $2595, 323-330-4282, https://www.apartments.com/forty6twenty-apartments-culver-city-ca/0h5m5s3/
209, Boulevard on Wilshire, 667 S Detroit St, Los Angeles, CA, 90036, 64, $2630 - 4450, 844-224-9655, https://www.apartments.com/boulevard-on-wilshire-los-angeles-ca/n0eyxyp/
210, Westwood Executive House, 424 Kelton Ave, Los Angeles, CA, 90024, 75, $2350, 844-223-6815, https://www.apartments.com/westwood-executive-house-los-angeles-ca/yq6sn4s/
211, Regency Manor, 7205 Hollywood Blvd, Los Angeles, CA, 90046, 69, $1625 - 3200, 844-206-5148, https://www.apartments.com/regency-manor-los-angeles-ca/r9m7wl0/
212, Park Gramercy, 849 S Gramercy Dr, Los Angeles, CA, 90005, 69, $1200 - 2100, 844-226-2628, https://www.apartments.com/park-gramercy-los-angeles-ca/exc9m8q/
213, Fountain West Apartments, 6701 Fountain Ave, Los Angeles, CA, 90028, 65, Call for Rent, 844-202-6550, https://www.apartments.com/fountain-west-apartments-los-angeles-ca/1ehl2q6/
214, 3130 Durango Ave, 3130 Durango Ave, Los Angeles, CA, 90034, 63, Call for Rent, 844-206-8071, https://www.apartments.com/3130-durango-ave-los-angeles-ca/deb7hel/
215, Edgemont & Banbury Manor Apartments, 1716 Edgemont St, Los Angeles, CA, 90027, 70, $1300 - 1600, 844-508-6068, https://www.apartments.com/edgemont-banbury-manor-apartments-los-angeles-ca/p54j3st/
216, Vista Paradiso, 11805 Laurelwood Dr, Studio City, CA, 91604, 72, $3329 - 4949, 818-748-8556, https://www.apartments.com/vista-paradiso-studio-city-ca/5wlvv3n/
217, 1132 N Formosa Ave, 1132 N Formosa Ave, Los Angeles, CA, 90046, 68, Call for Rent, 562-334-2093, https://www.apartments.com/1132-n-formosa-ave-los-angeles-ca/zl09jwz/
218, The Diplomat Apartments, 10751 Rose Ave, Los Angeles, CA, 90034, 67, $1900, 844-395-6841, https://www.apartments.com/the-diplomat-apartments-los-angeles-ca/f982ret/
219, 1415-1417 N Sierra Bonita Ave, 1415-1417 N Sierra Bonita Ave, Los Angeles, CA, 90046, 71, $1895, 818-579-2562, https://www.apartments.com/1415-1417-n-sierra-bonita-ave-los-angeles-ca/23en5jc/
220, 11965-11979 Montana Ave, 11965-11979 Montana Ave, Los Angeles, CA, 90049, 71, $4775 - 8395, 844-738-7774, https://www.apartments.com/11965-11979-montana-ave-los-angeles-ca/9h794c4/
221, Louise Apartments, 12449 Louise Ave, Los Angeles, CA, 90066, 73, $2295, 844-461-5816, https://www.apartments.com/louise-apartments-los-angeles-ca/8qt0ef1/
222, Casa Serrano Apartments, 245 S Serrano Ave, Los Angeles, CA, 90004, 66, $1304 - 1750, 844-271-9893, https://www.apartments.com/casa-serrano-apartments-los-angeles-ca/mhby9rl/
223, Regency Detroit Apartments, 1530 N Detroit Ave, West Hollywood, CA, 90046, 66, $1650 - 2600, 844-208-0994, https://www.apartments.com/regency-detroit-apartments-west-hollywood-ca/q86e95y/
224, Clarington Apartments, 3475 Clarington Ave, Los Angeles, CA, 90034, 66, $2795 - 2995, 844-264-8538, https://www.apartments.com/clarington-apartments-los-angeles-ca/t2tj748/
225, The Glendon Building, 10773 Lawler St, Los Angeles, CA, 90034, 68, $2295 - 2800, 424-258-5106, https://www.apartments.com/the-glendon-building-los-angeles-ca/p0cs9zt/
226, The Commodore, 1830 N Cherokee Ave, Los Angeles, CA, 90028, 68, Call for Rent, 323-472-9169, https://www.apartments.com/the-commodore-los-angeles-ca/slm4434/
227, 10907 Fruitland Dr, 10907 Fruitland Dr, Studio City, CA, 91604, 66, $2295, 844-224-2988, https://www.apartments.com/10907-fruitland-dr-studio-city-ca/xyp25jn/
228, 2347 Kerwood Ave, 2347 Kerwood Ave, Los Angeles, CA, 90064, 70, $3195, 844-896-6677, https://www.apartments.com/2347-kerwood-ave-los-angeles-ca/c1kke7e/
229, 1822 Wilcox Ave, 1822 Wilcox Ave, Los Angeles, CA, 90028, 62, $1750, 855-410-7338, https://www.apartments.com/1822-wilcox-ave-los-angeles-ca/pn055xv/
230, Franklin Plaza Apartments, 5640 Franklin Ave, Los Angeles, CA, 90028, 66, Call for Rent, 844-641-6913, https://www.apartments.com/franklin-plaza-apartments-los-angeles-ca/70wypsx/
231, Urbanpolitan, 739 S Ogden Dr, Los Angeles, CA, 90036, 69, $2895, 844-389-5463, https://www.apartments.com/urbanpolitan-los-angeles-ca/nl2rvcm/
232, South Hayworth Lofts, 1520-1522 S Hayworth Ave, Los Angeles, CA, 90035, 68, $3250 - 3450, 818-877-4173, https://www.apartments.com/south-hayworth-lofts-los-angeles-ca/0l96211/
233, Trousdale, 3255 Sawtelle Blvd, Los Angeles, CA, 90066, 63, $2995 - 3095, 844-378-0336, https://www.apartments.com/trousdale-los-angeles-ca/3gx6wvf/
234, June Apartments, 1250 N June St, Los Angeles, CA, 90038, 70, $1495 - 2795, 844-207-5908, https://www.apartments.com/june-apartments-los-angeles-ca/43s962k/
235, Hollywood Off-Vine, 6204-6216 La Mirada Ave, Los Angeles, CA, 90038, 69, $1210, 844-246-6836, https://www.apartments.com/hollywood-off-vine-los-angeles-ca/h2pz1s0/
236, The Mondrian, 1830 N La Brea Ave, Los Angeles, CA, 90046, 73, $2800, 818-878-8315, https://www.apartments.com/the-mondrian-los-angeles-ca/nfgel5m/
237, Rose Avenue Apartments, 10800 Rose Ave, Los Angeles, CA, 90034, 69, $2195, 424-341-4832, https://www.apartments.com/rose-avenue-apartments-los-angeles-ca/teyxk6b/
238, Rodeo Apartments, 6619 Leland Way, Los Angeles, CA, 90028, 69, $1650, 855-538-8536, https://www.apartments.com/rodeo-apartments-los-angeles-ca/p9pgjhr/
239, Rose North Apartments, 10825 Rose Ave, Los Angeles, CA, 90034, 68, $2195 - 2795, 213-600-2483, https://www.apartments.com/rose-north-apartments-los-angeles-ca/pgrynds/
240, Poinsettia Place Lux Apartments, 1640 N Poinsettia Pl, West Hollywood, CA, 90046, 70, Call for Rent, 844-209-7290, https://www.apartments.com/poinsettia-place-lux-apartments-west-hollywood-ca/4k4swxl/
241, Azure The Residences, 11900 Courtleigh Dr, Los Angeles, CA, 90066, 73, $3565 - 3764, 844-487-3326, https://www.apartments.com/azure-the-residences-los-angeles-ca/tgn1q5c/
242, 831 S Harvard Blvd, 831 S Harvard Blvd, Los Angeles, CA, 90005, 69, Call for Rent, 747-263-1565, https://www.apartments.com/831-s-harvard-blvd-los-angeles-ca/pcpsgdt/
243, 1959 S Beverly Glen Blvd, 1959 S Beverly Glen Blvd, Los Angeles, CA, 90025, 70, $4850, 844-851-4372, https://www.apartments.com/1959-s-beverly-glen-blvd-los-angeles-ca/805j6m2/
244, 2620 West Blvd Unit ., 2620 West Blvd Unit ., Los Angeles, CA, 90016, 65, $1400, 844-809-1398, https://www.apartments.com/2620-west-blvd-los-angeles-ca-unit/j183654/
245, 12930 Warren Ave, 12930 Warren Ave, Los Angeles, CA, 90066, 71, $1975, 424-341-0570, https://www.apartments.com/12930-warren-ave-los-angeles-ca/w5yfg8k/
246, 2425 S Barrington Ave Unit A, 2425 S Barrington Ave Unit A, Los Angeles, CA, 90064, 58, $2650, 844-887-9286, https://www.apartments.com/2425-s-barrington-ave-los-angeles-ca-unit-a/5kl87sn/
247, 2875 W 15th St, 2875 W 15th St, Los Angeles, CA, 90006, 70, $900, 323-402-1231, https://www.apartments.com/2875-w-15th-st-los-angeles-ca/fhmj8yt/
248, 12114 Idaho Ave, 12114 Idaho Ave, Los Angeles, CA, 90025, 68, $2395, 424-231-3936, https://www.apartments.com/12114-idaho-ave-los-angeles-ca/y7wlhvs/
249, 4006 Welland Ave, 4006 Welland Ave, Los Angeles, CA, 90008, 73, $4200, 310-683-0934, https://www.apartments.com/4006-welland-ave-los-angeles-ca/w351lnl/
250, 3307 Stocker St Unit 3307, 3307 Stocker St Unit 3307, Los Angeles, CA, 90008, 69, $2995, 818-539-9958, https://www.apartments.com/3307-stocker-st-los-angeles-ca-unit-3307/y0n9ncr/
251, 3305 Stocker St, 3305 Stocker St, Los Angeles, CA, 90008, 70, $2695, 323-694-3928, https://www.apartments.com/3305-stocker-st-los-angeles-ca/ep3ymlp/
252, 1418 N Poinsettia Pl, 1418 N Poinsettia Pl, Los Angeles, CA, 90046, 71, $3800, 844-622-1216, https://www.apartments.com/1418-n-poinsettia-pl-los-angeles-ca/39p0c4d/
253, 9100 Whitworth Dr, 9100 Whitworth Dr, Los Angeles, CA, 90035, 70, $2800, 424-246-5540, https://www.apartments.com/9100-whitworth-dr-los-angeles-ca/0rl63v0/
254, 3293 Cahuenga Blvd W, 3293 Cahuenga Blvd W, Los Angeles, CA, 90068, 63, $1850, 323-472-9156, https://www.apartments.com/3293-cahuenga-blvd-w-los-angeles-ca/j2c2xz6/
255, 10865 Bluffside Dr, 10865 Bluffside Dr, Studio City, CA, 91604, 61, $1550, 844-843-6743, https://www.apartments.com/10865-bluffside-dr-studio-city-ca/s59rf67/
256, 5564 Homeside Ave Unit 4, 5564 Homeside Ave Unit 4, Los Angeles, CA, 90016, 72, $2650, 213-805-5353, https://www.apartments.com/5564-homeside-ave-los-angeles-ca-unit-4/mgp9tdh/
257, 530 Veteran Ave, 530 Veteran Ave, Los Angeles, CA, 90024, 71, $2125, 424-260-5182, https://www.apartments.com/530-veteran-ave-los-angeles-ca/t0sefb8/
258, 1436 S Crescent Heights Blvd, 1436 S Crescent Heights Blvd, Los Angeles, CA, 90035, 69, $2695, 323-431-5209, https://www.apartments.com/1436-s-crescent-heights-blvd-los-angeles-ca/068vf52/
259, 5341 Deane Ave Unit 5341, 5341 Deane Ave Unit 5341, View Park-Windsor Hills, CA, 90043, 73, $2475, 323-431-5207, https://www.apartments.com/5341-deane-ave-view-park-windsor-hills-ca-unit-5341/rxzj6p3/
260, 5343 Deane Ave, 5343 Deane Ave, Los Angeles, CA, 90043, 73, $2475, 844-218-2167, https://www.apartments.com/5343-deane-ave-los-angeles-ca/bc4w2pb/
261, 11848 Kiowa Ave Unit 307, 11848 Kiowa Ave Unit 307, Los Angeles, CA, 90049, 72, $5100, 323-536-1818, https://www.apartments.com/11848-kiowa-ave-los-angeles-ca-unit-307/tqq7d09/
262, 2611 Woodstock Rd, 2611 Woodstock Rd, Los Angeles, CA, 90046, 79, $2000, 818-208-2704, https://www.apartments.com/2611-woodstock-rd-los-angeles-ca/cjqpcgg/
263, 3748 W 9th St, 3748 W 9th St, Los Angeles, CA, 90019, 69, $1695, 747-226-5924, https://www.apartments.com/3748-w-9th-st-los-angeles-ca/8kec6b0/
264, 2357 Brookshire Ln, 2357 Brookshire Ln, Los Angeles, CA, 90077, 71, $7700, 424-331-1619, https://www.apartments.com/2357-brookshire-ln-los-angeles-ca/ypxgxpr/
265, 8818 Alcott St, 8818 Alcott St, Los Angeles, CA, 90035, 67, $4250, 424-256-0331, https://www.apartments.com/8818-alcott-st-los-angeles-ca/nbkys6n/
266, 300 S Westgate Ave, 300 S Westgate Ave, Los Angeles, CA, 90049, 76, $10500, 424-278-9580, https://www.apartments.com/300-s-westgate-ave-los-angeles-ca/6txgdvr/
267, 1138 S La Cienega Blvd Unit 1, 1138 S La Cienega Blvd Unit 1, Los Angeles, CA, 90035, 67, $1650, 424-216-9643, https://www.apartments.com/1138-s-la-cienega-blvd-los-angeles-ca-unit-1/g963x7x/
268, 2310 S Bentley Ave Unit 4, 2310 S Bentley Ave Unit 4, Los Angeles, CA, 90064, 65, $2295, 323-391-4292, https://www.apartments.com/2310-s-bentley-ave-los-angeles-ca-unit-4/lxv64gg/
269, 143 S Hayworth Ave, 143 S Hayworth Ave, Los Angeles, CA, 90048, 69, $2650, 323-457-4990, https://www.apartments.com/143-s-hayworth-ave-los-angeles-ca/fmc7qvv/
270, 200 N Oxford Ave Unit 6, 200 N Oxford Ave Unit 6, Los Angeles, CA, 90004, 68, $2100, 213-425-3519, https://www.apartments.com/200-n-oxford-ave-los-angeles-ca-unit-6/4x7nb6j/
271, 1816 N Gramercy Pl Unit 101, 1816 N Gramercy Pl Unit 101, Los Angeles, CA, 90028, 68, $1625, 213-481-6168, https://www.apartments.com/1816-n-gramercy-pl-los-angeles-ca-unit-101/vpfm8pf/
272, 1947 S Sherbourne Dr Unit 6, 1947 S Sherbourne Dr Unit 6, Los Angeles, CA, 90034, 71, $2655, 424-281-6339, https://www.apartments.com/1947-s-sherbourne-dr-los-angeles-ca-unit-6/2cc5qk8/
273, 2046 N Highland Ave Unit 4, 2046 N Highland Ave Unit 4, Los Angeles, CA, 90068, 68, $1650, 844-830-3219, https://www.apartments.com/2046-n-highland-ave-los-angeles-ca-unit-4/wwv4ldh/
274, 1417 Woodruff Ave, 1417 Woodruff Ave, Los Angeles, CA, 90024, -, $6250, 844-812-5437, https://www.apartments.com/1417-woodruff-ave-los-angeles-ca/hxfcmz2/
275, 1314 N Vista St Unit 1314, 1314 N Vista St Unit 1314, Los Angeles, CA, 90046, 68, $1595, 818-462-8783, https://www.apartments.com/1314-n-vista-st-los-angeles-ca-unit-1314/4hy715l/
276, 3467 Red Rose Dr, 3467 Red Rose Dr, Los Angeles, CA, 91436, 75, $6499, 866-959-8854, https://www.apartments.com/3467-red-rose-dr-los-angeles-ca/748d53w/
277, 945 Gayley Ave Unit 301, 945 Gayley Ave Unit 301, Los Angeles, CA, 90024, 67, $1699, 855-891-2212, https://www.apartments.com/945-gayley-ave-los-angeles-ca-unit-301/2gq585b/
278, 2336 Crenshaw Blvd, 2336 Crenshaw Blvd, Los Angeles, CA, 90016, 62, $1595, 424-384-2759, https://www.apartments.com/2336-crenshaw-blvd-los-angeles-ca/pb0wd1r/
279, 4116 Neosho Ave, 4116 Neosho Ave, Los Angeles, CA, 90066, 75, $1895, 213-349-4523, https://www.apartments.com/4116-neosho-ave-los-angeles-ca/nh3n5pn/
280, 2100 N Beachwood Dr Unit 210, 2100 N Beachwood Dr Unit 210, Los Angeles, CA, 90068, 72, $2495, 844-660-6031, https://www.apartments.com/2100-n-beachwood-dr-los-angeles-ca-unit-210/zcgf16w/
281, 1135 S Oakhurst Dr, 1135 S Oakhurst Dr, Los Angeles, CA, 90035, 66, $2895, 844-864-5901, https://www.apartments.com/1135-s-oakhurst-dr-los-angeles-ca/hf3ecz1/
282, 17350 W Sunset Blvd Unit 404c, 17350 W Sunset Blvd Unit 404c, Pacific Palisades, CA, 90272, 72, $3500, 626-593-1457, https://www.apartments.com/17350-w-sunset-blvd-pacific-palisades-ca-unit-404c/m8fhlnk/
283, 2825 S Rimpau Blvd, 2825 S Rimpau Blvd, Los Angeles, CA, 90016, 70, $1000, 818-641-1241, https://www.apartments.com/2825-s-rimpau-blvd-los-angeles-ca/0bhbb61/
284, 4907 Beverly Blvd Unit #5, 4907 Beverly Blvd Unit #5, Los Angeles, CA, 90004, 70, $1525, 855-275-6950, https://www.apartments.com/4907-beverly-blvd-los-angeles-ca-unit-5/6neyvfv/
285, 907 Hanley Ave Unit 0, 907 Hanley Ave Unit 0, Los Angeles, CA, 90049, 82, $2300, 310-464-1868, https://www.apartments.com/907-hanley-ave-los-angeles-ca-unit-0/2fv52mb/
286, 12450 Deerbrook Ln, 12450 Deerbrook Ln, Los Angeles, CA, 90049, 82, $6600, 323-391-2520, https://www.apartments.com/12450-deerbrook-ln-los-angeles-ca/9e4gls7/
287, 2909 S Catalina St, 2909 S Catalina St, Los Angeles, CA, 90007, 71, $7500, 424-543-6635, https://www.apartments.com/2909-s-catalina-st-los-angeles-ca/pvv1pss/
288, 2039 N Las Palmas Ave, 2039 N Las Palmas Ave, Los Angeles, CA, 90068, 68, $1710, 619-312-6534, https://www.apartments.com/2039-n-las-palmas-ave-los-angeles-ca/tcg9329/
289, 518 S Spaulding Ave Unit 1/2, 518 S Spaulding Ave Unit 1/2, Los Angeles, CA, 90036, 70, $2295, 213-378-2128, https://www.apartments.com/518-s-spaulding-ave-los-angeles-ca-unit-1-2/499wc3k/
290, 725 N Alfred St, 725 N Alfred St, Los Angeles, CA, 90069, 70, $2495, 213-878-2074, https://www.apartments.com/725-n-alfred-st-los-angeles-ca/eje51dm/
291, 2309 Hauser Blvd Unit 4, 2309 Hauser Blvd Unit 4, Los Angeles, CA, 90016, 66, $2800, 213-568-0429, https://www.apartments.com/2309-hauser-blvd-los-angeles-ca-unit-4/zb6r5by/
292, 3467 Veteran Ave, 3467 Veteran Ave, Los Angeles, CA, 90034, 67, $3900, 213-568-0593, https://www.apartments.com/3467-veteran-ave-los-angeles-ca/f518sfs/
